,val_loss,val_acc,loss,acc
0,4382.023962839841,0.5361194073888619,8347.490485488719,0.5292833521068889
1,3001.1101343579803,0.6624180138683565,3808.908810908423,0.6141939998239486
2,2297.1526374736472,0.6972227106470781,2576.711713930241,0.6754166945795309
3,2073.277294853248,0.7049294334436418,2184.6659348525877,0.7048111397736777
4,1939.766164208218,0.7178130127501784,1981.276267967272,0.7158285117753569
5,1871.8314883530795,0.7140504204017771,1816.9638533182945,0.7214921062050043
6,2354.571373759681,0.6449065938937522,1871.5110632004387,0.6983038909928505
7,2520.1112130031734,0.6262356526233408,2387.039387481963,0.638110008187629
8,1919.012580133484,0.7139889330935439,2201.2654569815663,0.6900704693270981
9,1816.8119412616757,0.7101853491690879,1749.9335372357177,0.7204871267733082
10,1874.9855068883228,0.6992313778492572,1811.2699979683682,0.7135043376633095
11,1580.9087447065692,0.7303466859286047,1731.202985111151,0.7106983892874152
12,1613.918803883649,0.7228156476759134,1566.167460268262,0.7285977220830043
13,1387.2051150120235,0.7366508551938497,1448.7121394796081,0.7327254326968154
14,1586.4213685897787,0.7346846457945153,1490.9450398269803,0.7341307899409277
15,1681.9429312710686,0.7333640781239733,1602.9462430463489,0.7347412572383912
16,1602.6432124960197,0.7351341069261261,1708.4290554284596,0.7363732025188884
17,1595.6173396518232,0.7331356868919262,1615.7100976235597,0.7368579099076755
18,1489.5698000277253,0.7347534558454144,1520.1237291183509,0.7360153553891845
