epoch;accuracy;loss;val_accuracy;val_loss
0;0.50953114;7260.604037191606;0.5164632201194763;5314.900771835073
1;0.6358001;4087.5154054485415;0.6850335597991943;3296.7303040443503
2;0.7226875;3068.412246415913;0.7518055438995361;2764.2875217643773
3;0.8176342;2941.1917005755013;0.8772166967391968;2811.563398655922
4;0.8989092;2484.865128823283;0.8814765810966492;2795.9613716481967
5;0.89948356;2353.8490133918476;0.9222909808158875;2283.405395632863
6;0.92406756;2138.23566161351;0.911160409450531;2285.801993324628
7;0.90638465;2260.2523552877665;0.8966848850250244;2377.877913681012
8;0.8762715;3302.329216724973;0.8446844220161438;3460.455439062967
9;0.8739254;3145.967060393325;0.9396918416023254;1923.8947085788218
10;0.93557197;2060.9078928839617;0.9402779936790466;1982.8603352294908
11;0.9426003;1824.1139030770275;0.9392891526222229;1805.5737042532628
12;0.94450283;1704.9504337227681;0.9404985308647156;1579.3805852083156
13;0.9464082;1511.3217233118812;0.9510827660560608;1410.2472280778363
14;0.9524424;1367.2008703947956;0.9496400356292725;1408.5399973233596
15;0.95278966;1278.313736603477;0.9579050540924072;968.7881595089876
16;0.9577043;939.7407137227416;0.9548574090003967;852.3682624148655
17;0.93814445;1039.2431215395031;0.8742615580558777;1805.0373182235421
18;0.85729986;1793.2742239441989;0.85955411195755;1685.167665863341
19;0.8371198;2137.8754711639344;0.8423624038696289;2224.054579261683
20;0.8334281;2469.4225551614363;0.8237749934196472;2756.8546913932446
21;0.8521481;2352.285605306419;0.8515906929969788;2056.684129564406
