epoch;accuracy;loss;val_accuracy;val_loss
0;0.8597494;0.1139846540888296;0.8693045377731323;0.06885895909645373
1;0.8736919;0.06492704191272142;0.8771256804466248;0.061407624157396326
2;0.87915534;0.05917483585104565;0.881823718547821;0.05614018398564716
3;0.88338727;0.05466870454704748;0.8855201601982117;0.051385339255798294
4;0.889302;0.04928914824609819;0.8919839262962341;0.048189941426048676
5;0.892403;0.04656044293967893;0.8941921591758728;0.04486021320840954
6;0.89664704;0.043016429946307735;0.8978857398033142;0.04082705188954123
7;0.9013737;0.039270400064933854;0.9033990502357483;0.037599739556532445
8;0.90552205;0.03605470459010111;0.9055674076080322;0.03422833471717733
9;0.9109841;0.03263099503949332;0.9121692180633545;0.030821653315439675
10;0.9155181;0.02961729050031417;0.9163223505020142;0.02873727996806538
11;0.9195851;0.02685497897996934;0.9196915626525879;0.026665790495103616
12;0.92319965;0.024502856619121445;0.924567461013794;0.022718532234905223
13;0.92647797;0.022516145916754524;0.9282013177871704;0.02190869094176475
14;0.9296796;0.020410281235802578;0.9292798042297363;0.019716584584323522
15;0.9325076;0.01883964265604109;0.930733859539032;0.018047826181456703
16;0.9372456;0.016381772767027295;0.9304208755493164;0.016314362800831636
17;0.9419943;0.014181216385243405;0.9445194005966187;0.013402521313282012
18;0.9452282;0.012591681544627736;0.9417648315429688;0.012331557343415796
19;0.9498955;0.010594712096316954;0.9542015194892883;0.009612276595818155
20;0.9541789;0.009103496796023486;0.9562190771102905;0.008582870642431507
21;0.95654815;0.008191261666664824;0.94931560754776;0.009629609633875708
22;0.95976645;0.006928578509046252;0.9648597240447998;0.006515076598426546
23;0.96264917;0.005977232647628321;0.9572491645812988;0.006400691503761187
24;0.9641277;0.005553768926926787;0.9596422910690308;0.006165481441759265
25;0.9645592;0.005092874065659012;0.9608104228973389;0.005722757467762493
26;0.9677917;0.003902485876277328;0.9735971093177795;0.0030320651236757554
27;0.97127044;0.0030898943555520792;0.9737251996994019;0.002781684665882027
28;0.97245294;0.002807259015799068;0.9711456298828125;0.003096897107555425
29;0.9730319;0.0026739685579101604;0.9644528031349182;0.0043268242823629455
30;0.9735291;0.0025641167102949895;0.9709051847457886;0.003135778275995032
31;0.97456837;0.002357575147554659;0.9704669713973999;0.0028404659416253484
32;0.9745662;0.002350386944617887;0.9721373319625854;0.002893833976928699
