epoch;accuracy;loss;val_accuracy;val_loss
0;0.5470129;9831.961030808763;0.5498740673065186;6557.189032212608
1;0.56194097;4059.538152821909;0.5512591004371643;2997.860836698345
2;0.61476415;2644.2478823905553;0.6420912146568298;2393.593003338018
3;0.6617602;2252.1601219466766;0.6796380877494812;2154.8652147877046
4;0.7066264;2030.3042006124736;0.7165627479553223;1986.6132289504915
5;0.721872;1881.6587579872087;0.727809488773346;1756.4475383030276
0;0.4879296;9996.580677363474;0.5706122517585754;5433.570877185999
1;0.577885;4146.302586992984;0.5677763819694519;3249.85829126497
2;0.59327054;3225.3055217755873;0.6030964255332947;3346.53025942615
3;0.618318;3137.582012479041;0.6306116580963135;2961.6720745902508
4;0.6380037;2760.8584079438224;0.6298752427101135;2591.628718898234
5;0.6355893;2662.2208978130548;0.6229005455970764;3078.80120999731
6;0.61527413;2971.815018561426;0.6029456257820129;2905.36087627326
7;0.6120143;2849.214235366837;0.6078765392303467;2898.5753338818918
8;0.60392165;3016.933733833093;0.5866464376449585;3116.0483010694834
9;0.59957397;3093.5710413431293;0.6037435531616211;3038.8074917716203
10;0.6022087;3028.2488902737923;0.5975140333175659;3006.5781911106965
11;0.6044188;2932.1860879834753;0.6175875663757324;2899.4841054101885
12;0.6235391;2798.664057675228;0.6297698616981506;2768.2013439000643
0;0.538796;9536.802301932206;0.558699369430542;5841.478547422186
1;0.60407454;4165.877000119533;0.6399434804916382;3403.264647808419
2;0.665871;2773.311184380451;0.6816789507865906;2473.696296153959
3;0.6885808;2264.5058875842515;0.699221134185791;2102.0301494513496
4;0.70789975;1966.794426690477;0.7048298716545105;1985.450604787055
5;0.71117616;1901.4035472692385;0.7140738368034363;1826.5620428010714
6;0.71413314;1767.5402365388968;0.7161337733268738;1746.1229720143585
7;0.7074767;1892.0118577983183;0.6979473829269409;1941.6145692647942
8;0.7037878;1807.425838116965;0.6884325742721558;1879.1524304202078
9;0.70801675;1661.3915185531478;0.7020101547241211;1721.5827829160353
10;0.6989261;1650.3529822084106;0.6947762966156006;1689.9290977365436
11;0.6962789;1713.4056012785206;0.6989048719406128;1643.560547990189
12;0.66988474;1832.3054510456825;0.6598178744316101;1910.2824079951852
13;0.66192335;1859.876932236154;0.6585807800292969;1894.3076105535547
14;0.6717249;1708.5009262497058;0.6793233156204224;1634.6933701265666
15;0.6783308;1673.3554695475643;0.6900547742843628;1543.4623824705086
16;0.6782641;1697.1657948057475;0.6839292049407959;1785.6838635113793
17;0.68506354;1826.987530539643;0.7100594639778137;1764.7279618621346
18;0.7073025;1888.2528908189934;0.7014420628547668;2145.0574372417336
19;0.7366566;2076.970444617475;0.7646008729934692;1820.9355697506735
20;0.76959217;1702.1249642000125;0.7462623119354248;1836.6490708130198
21;0.7534952;1677.2785976876585;0.7528783082962036;1590.6350895445362
22;0.7546612;1541.4548721967483;0.7446123361587524;1582.0014838591535
23;0.7239475;1748.7497364716687;0.7040231823921204;1857.3838993232462
