epoch;accuracy;loss;val_accuracy;val_loss
0;0.9784811;0.06025256230060003;0.9953815937042236;0.0004667823074765717
1;0.9955662;0.0003480333828200248;0.9981062412261963;0.0003713135399787193
2;0.995954;0.0002792092656609996;0.9940569400787354;0.00023591038271052328
3;0.9966481;0.00021948026705927043;0.9985686540603638;0.0006412526850281624
4;0.99704796;0.000176231893366043;0.9988688826560974;2.911741051214594e-05
5;0.9976052;0.00012381456185550651;0.9980920553207397;0.00021788270662254848
6;0.9976408;0.00013091901249853615;0.9987024068832397;0.00015792342506086958
7;0.99799085;0.0001007388328527705;0.9870994687080383;0.0014393381646568078
8;0.99833703;8.931438405767324e-05;0.9994578957557678;1.8031345881445922e-05
9;0.9982023;8.586503819319885e-05;0.9990680813789368;2.9314517716788288e-05
10;0.99854887;7.375956203378164e-05;0.9984661936759949;3.278717142323238e-05
11;0.9984636;5.469734441238925e-05;0.999476432800293;3.165586644855476e-05
12;0.99852824;6.507974516694505e-05;0.9987920522689819;9.961870155685416e-05
13;0.9986267;4.9196099006571904e-05;0.9994180798530579;7.505805635388891e-06
14;0.99867606;4.123067270183642e-05;0.9981816411018372;0.00010107555814020885
15;0.9986185;4.5115432522437954e-05;0.9960645437240601;0.0003460350018738545
16;0.9987415;3.7096642650360206e-05;0.9993170499801636;2.7978793626991807e-05
17;0.9988826;4.5056444142156264e-05;0.9996087551116943;5.632659365194319e-06
18;0.9987134;4.120938390165291e-05;0.9972909688949585;9.351457383826553e-05
19;0.9990251;2.5083153487082656e-05;0.9985814690589905;1.9924674652240084e-05
20;0.99875534;3.6676689438978705e-05;0.9990310668945312;9.651959293910283e-06
21;0.9989583;2.5289073208691528e-05;0.9987237453460693;4.012090741393141e-05
22;0.99891955;2.6477771320339e-05;0.9995546936988831;4.200650068303131e-06
23;0.99882853;2.8331171944711714e-05;0.9995062947273254;5.2999974116458805e-06
24;0.9989793;2.50266889383035e-05;0.9984932541847229;3.0097180913703957e-05
25;0.9989821;2.5712827841441475e-05;0.9996357560157776;1.0527049789839372e-05
26;0.99885523;2.9694178416426148e-05;0.9995930790901184;4.781427137760095e-06
27;0.99904287;2.2318811184265825e-05;0.9978615045547485;9.303706980299753e-05
28;0.9989704;2.437758641576582e-05;0.9995404481887817;4.333257647144838e-06
29;0.9990745;2.8089329626674468e-05;0.9991605281829834;1.1958670282287591e-05
30;0.9990191;2.138115326872977e-05;0.9991463422775269;2.5829679615779566e-05
0;0.9795605;0.040672854632234155;0.9971216917037964;0.0002792063172477495
1;0.9948582;0.0004088609619347308;0.9982072710990906;0.00016663131462479262
2;0.9962401;0.00028535682716765166;0.9979013800621033;8.314184693250348e-05
3;0.99644655;0.0001911564504498017;0.9985644221305847;0.00031060883915580526
4;0.99706465;0.00015861594689131901;0.997434675693512;0.00013486035073692385
5;0.99759775;0.000150653551187537;0.999023973941803;2.869269963067972e-05
6;0.99781847;9.562932574659466e-05;0.9968200325965881;0.00018178819295115085
7;0.99794394;0.00010296488663974367;0.9977704882621765;0.00032927653692260895
8;0.99826735;8.593705615000507e-05;0.9990310668945312;5.84913528292668e-05
9;0.9980388;7.67442360113419e-05;0.9940541386604309;0.00021837135613706466
10;0.9981817;6.739128985940589e-05;0.9983822703361511;0.00010741997203762302
